update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
640,4713,819200,726.8711881704613,1782,0.13749999925494194,0.24521597453468513,0.0,0.703000009059906,0.25,150.0,75.28030951052207,33.0,300.0,1.8009025692939757,0.3450227722525597,-0.2545005280524492,3.2051690340042116,1.3300750255584717,nan,0.962107241153717
650,4793,832000,753.1275804679548,1799,0.1006562476977706,0.18995712183551783,0.0,0.5544999837875366,0.25,194.6875,99.889137766576,58.0,400.0,1.7717790246009826,0.7501554876565933,0.026466704439371824,1.253272181749344,0.6353850364685059,nan,0.7515248656272888
660,4870,844800,764.2548396294651,1816,0.06193749979138374,0.23988290519775457,0.0,0.9909999966621399,0.0625,200.0625,117.15399521036404,1.0,400.0,1.7615249156951904,0.17691222354769706,0.11090703308582306,0.014301582099869847,0.10044258087873459,nan,0.12581731379032135
670,4952,857600,732.3632784151613,1834,0.22362499684095383,0.34413698194078024,0.0,0.8604999780654907,0.3125,135.75,78.60701304591086,22.0,300.0,1.6662007689476013,0.8897268325090408,-0.5372767448425293,8.621989417076112,3.7570559978485107,nan,3.1657912731170654
680,5035,870400,746.081798008636,1851,0.36574999801814556,0.3895643778063002,0.0,0.9459999799728394,0.5,130.5625,109.30746129038951,6.0,400.0,1.6785778164863587,1.0432872116565703,-0.29666571859270335,7.8862752437591555,3.6296863555908203,nan,1.0321292877197266
690,5106,883200,758.2026136175709,1868,0.15521875023841858,0.28093877042097537,0.0,0.8109999895095825,0.25,184.375,86.44353286972948,37.0,400.0,1.7084195017814636,0.9430411100387573,0.17133658863604068,1.7327062726020812,1.0206055641174316,nan,1.2910566329956055
700,5181,896000,753.6449840798084,1886,0.16696874797344208,0.3479965144926407,0.0,0.9459999799728394,0.1875,171.9375,116.76175998052616,6.0,400.0,1.7600357353687286,0.5063572779297829,0.1920242615044117,0.15453644692897797,0.25169214606285095,nan,1.8340470790863037
710,5261,908800,723.1345303795591,2031,0.16126562282443047,0.2883611458339686,0.0,0.847000002861023,0.25,181.375,98.18342209864149,34.0,400.0,1.7696987807750701,0.4855321228504181,-0.05325144901871681,3.0457189679145813,1.4519110918045044,nan,1.11063814163208
720,5342,921600,692.9793375383327,2049,0.3415156230330467,0.36977455110613816,0.0,0.9369999766349792,0.5,115.1875,82.41072347546768,14.0,300.0,1.6102570712566375,0.9763439565896987,-0.7403264164924621,8.757482123374938,3.62231183052063,nan,4.032971382141113
730,5416,934400,747.1973182388235,2067,0.17575000040233135,0.3154058400959872,0.0,0.9144999980926514,0.25,165.75,117.64379499149116,31.0,400.0,1.6627054452896117,0.9865107119083405,-0.15097934678196906,5.500849723815918,2.5828182697296143,nan,1.6068607568740845
